soc_id	pref_name_for_society	region	code_ea	code_eco	title_ea	title_eco
Ae8	Rundi	West-Central Tropical Africa	1	0.703627719	Cousin marriages preferred	Precipitation predictability
Ae9	Fut	West-Central Tropical Africa	15	0.704446179	Cousin marriages preferred	Precipitation predictability
Af1	Fon	West Tropical Africa	15	0.664044008	Cousin marriages preferred	Precipitation predictability
Af10	Igbo	West Tropical Africa	15	0.703991484	Cousin marriages preferred	Precipitation predictability
Af11	Toma	West Tropical Africa	15	0.650848973	Cousin marriages preferred	Precipitation predictability
Af13	Ebira	West Tropical Africa	15	0.658579999	Cousin marriages preferred	Precipitation predictability
Af14	Sherbro	West Tropical Africa	15	0.655307839	Cousin marriages preferred	Precipitation predictability
Af15	Kpelle	West Tropical Africa	15	0.707565706	Cousin marriages preferred	Precipitation predictability
Af17	Boki	West Tropical Africa	15	0.709344326	Cousin marriages preferred	Precipitation predictability
Af18	Ekoi	West Tropical Africa	15	0.698868474	Cousin marriages preferred	Precipitation predictability
Af19	Efik	West Tropical Africa	15	0.708400565	Cousin marriages preferred	Precipitation predictability
Af2	Kissi	West Tropical Africa	5	0.646841184	Cousin marriages preferred	Precipitation predictability
Af20	Ibibio	West Tropical Africa	15	0.708400565	Cousin marriages preferred	Precipitation predictability
Af22	Itsekiri	West Tropical Africa	15	0.668134206	Cousin marriages preferred	Precipitation predictability
Af23	Afikpo	West Tropical Africa	14	0.698868474	Cousin marriages preferred	Precipitation predictability
Af24	Edo	West Tropical Africa	15	0.696562288	Cousin marriages preferred	Precipitation predictability
Af25	Isoko	West Tropical Africa	15	0.67085846	Cousin marriages preferred	Precipitation predictability
Af26	Kukuruku	West Tropical Africa	15	0.694317424	Cousin marriages preferred	Precipitation predictability
Af27	Eloyi	West Tropical Africa	15	0.660239869	Cousin marriages preferred	Precipitation predictability
Af28	Gbagyi	West Tropical Africa	15	0.637797604	Cousin marriages preferred	Precipitation predictability
Af29	Idoma	West Tropical Africa	15	0.670338848	Cousin marriages preferred	Precipitation predictability
Af3	Ashanti	West Tropical Africa	2	0.693587053	Cousin marriages preferred	Precipitation predictability
Af32	Egba	West Tropical Africa	15	0.661389662	Cousin marriages preferred	Precipitation predictability
Af33	Ekiti	West Tropical Africa	15	0.671206656	Cousin marriages preferred	Precipitation predictability
Af34	Ife	West Tropical Africa	15	0.687232947	Cousin marriages preferred	Precipitation predictability
Af36	Ewe	West Tropical Africa	15	0.678918673	Cousin marriages preferred	Precipitation predictability
Af37	Buem	West Tropical Africa	15	0.682313351	Cousin marriages preferred	Precipitation predictability
Af38	Abron	West Tropical Africa	15	0.659562923	Cousin marriages preferred	Precipitation predictability
Af39	Anyi	West Tropical Africa	3	0.701497086	Cousin marriages preferred	Precipitation predictability
Af4	Yako	West Tropical Africa	3	0.698868474	Cousin marriages preferred	Precipitation predictability
Af40	Assini	West Tropical Africa	15	0.711477001	Cousin marriages preferred	Precipitation predictability
Af41	Attie	West Tropical Africa	15	0.720543154	Cousin marriages preferred	Precipitation predictability
Af42	Fante	West Tropical Africa	2	0.714082201	Cousin marriages preferred	Precipitation predictability
Af43	Ga	West Tropical Africa	9	0.668501034	Cousin marriages preferred	Precipitation predictability
